"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010.1",481.647863065341,0.0487645910396406,0.123163421707158,0.369234558720456,0.728089854866249
"AT1G01020.1",0.699483450248134,-0.00708040416945578,0.23539685434142,0.694496038139019,NA
"AT1G01020.2",9.82977235359821,0.181568028458951,0.367062646724919,0.0201500426362726,0.172349761059949
"AT1G01030.1",90.2322776047333,-0.0126276792272656,0.0980178955258929,0.794729550179313,0.942072845511827
"AT1G01040.1",153.217100486051,-0.018999683204532,0.100600201570445,0.699415053191008,0.911044995250683
"AT1G01040.2",16.032041355715,-0.0085830572502509,0.153029593281862,0.856262444310757,0.960161342855455
"AT1G01046.1",45.1250687672771,0.0167935843143689,0.141831838261742,0.734012301201896,0.923931152983367
"AT1G01050.1",2101.34846146807,0.0244987705661267,0.0563838664310743,0.453861816904311,0.785927451372517
"AT1G01060.3",0.947725514420288,0.00584986459958017,0.239969693581512,0.699132986651061,NA
"AT1G01060.5",5.55364448035032,-0.0962805667409842,0.36855729004928,0.0203885281438432,NA
"AT1G01070.1",8.91388981748674,0.00195151726075911,0.190040684545951,0.960144377430301,NA
"AT1G01070.2",10.565623502224,0.0534788992806917,0.206893753733391,0.272055439370779,0.649183967818277
"AT1G01080.2",17.8882065481667,-0.0297831677981915,0.156420150377375,0.548771082929838,0.844135761672867
"AT1G01090.1",8961.29126258047,-0.0973268683832583,0.085820804292267,0.0586776680896908,0.315793401639811
"AT1G01100.1",7.77022236166324,-0.00431359317100621,0.164749801647746,0.92410019352453,NA
"AT1G01100.2",16.675036785084,-0.0310131134549471,0.175996173802768,0.511001225001673,0.822203812935099
"AT1G01100.4",3.61224844209376,0.0469231452401268,0.243564415930235,0.189133763643342,NA
"AT1G01110.1",1.73383833907116,-0.0100590068603688,0.220835697429164,0.706388719019322,NA
"AT1G01110.2",71.9144152246936,-0.047819154497389,0.148382538652223,0.375069932757492,0.733000314523767
"AT1G01120.1",1816.13132156451,0.206558301689381,0.221534055530626,0.02150130830801,0.179430823748234
"AT1G01130.1",56.426559781426,0.0388275831899979,0.129343697806706,0.463834118993332,0.792058691043248
"AT1G01140.1",1.3269585171272,-0.0289833884694338,0.227321545354548,0.357622161311115,NA
"AT1G01140.2",5.93219790939788,0.0523995437805493,0.215859852153616,0.258243896103109,NA
"AT1G01140.3",2.97159865934295,-0.0125852298700262,0.208393816304242,0.705695725402597,NA
"AT1G01150.1",3.09670655962512,-0.018312314035219,0.219703658058258,0.540956410856557,NA
"AT1G01160.1",32.7159622252705,0.124516811833076,0.20699043684893,0.0787983092882305,0.369889148392522
"AT1G01160.2",67.6770996558406,0.0332217691450838,0.125015239440618,0.524851985890256,0.830164736310215
"AT1G01170.1",1680.1551862616,-0.287801331201604,0.10965960349664,0.000433980151853082,0.0137881137931798
"AT1G01180.1",946.764620638976,-0.00218667893266292,0.0655246603502793,0.95430328268105,0.98556364590428
"AT1G01190.1",11.461455181173,0.436244986312301,0.694558842346485,0.00134410427020887,0.030555012046299
"AT1G01200.1",21.157521199934,0.0713743277477256,0.216255817432437,0.186038303989209,0.554903754040223
"AT1G01210.1",320.798344115163,-0.0269378369905072,0.0824476395573019,0.54885380387035,0.844135761672867
"AT1G01220.1",1346.4886160989,0.10083204036185,0.0779731021440935,0.0401284254916099,0.256642426852377
"AT1G01225.1",70.6308899162349,0.032988066106435,0.128675883681167,0.527346349860324,0.831879669458304
"AT1G01230.1",1356.59772610304,-0.0838195605377988,0.0886226251939213,0.0986155486825339,0.408543023011324
"AT1G01240.3",138.070917793351,-0.0247566792201174,0.119854582518648,0.629091779507487,0.881491579763441
"AT1G01250.1",71.1072397876271,0.0982998143601333,0.199253570119423,0.124827587919548,0.461575697559165
"AT1G01260.1",61.009822400806,-0.0078213733702184,0.121820081037975,0.875977615692933,0.966299703288596
"AT1G01260.3",0.867735418441816,-0.0194350161110097,0.249368043322515,0.279366952283173,NA
"AT1G01290.1",45.1002633456589,0.035190063928956,0.1305019962445,0.502359389348883,0.816980239100459
"AT1G01290.2",86.1573895546716,-0.0966816316363926,0.159415542592577,0.132381807073617,0.474018751575091
"AT1G01300.1",2744.95160349026,0.0250306999979048,0.0719969139729032,0.539632048280985,0.838225062143028
"AT1G01310.1",0.824151498414862,0.0118909832375423,0.23969493980057,0.502053149620898,NA
"AT1G01320.1",819.605378754203,0.0139978081047235,0.0788306395620547,0.747725340691969,0.928310930221027
"AT1G01320.2",11.4308077154448,-0.0100974674205808,0.167983475007017,0.822639669757702,0.950489572771252
"AT1G01340.1",8.74882068620316,0.0510167277677056,0.223132824526726,0.245146601137851,NA
"AT1G01340.2",73.276265444888,0.193813115061263,0.262164607086274,0.0283169939893381,0.211460587405161
"AT1G01350.1",891.235031640771,0.0083032532122125,0.0600607864293321,0.814846541888228,0.948139459707513
"AT1G01355.1",12.9261418427498,0.012365457815383,0.171572049516737,0.781503478538785,0.937967316810709
"AT1G01360.1",504.088153235274,0.0600661798430639,0.0974547492565679,0.242193859046189,0.619616733814046
"AT1G01370.1",3.52458799938113,-0.0404051692641107,0.219153258011023,0.312548415542693,NA
"AT1G01370.2",11.6857061285706,0.943596182523058,0.863630402635893,0.000182113424984977,0.00774164169611138
"AT1G01380.1",21.8178591459303,0.377166620476558,0.460747785263028,0.00472444248363191,0.0710972539887552
"AT1G01390.1",52.4111756038242,-0.0188355996519866,0.140527617274547,0.705034640290166,0.912860092554062
"AT1G01420.1",551.229396995557,0.00528376134054648,0.0791743426383257,0.903542610831566,0.973859448733011
"AT1G01430.1",4273.43075370954,-0.0156495649309415,0.059959853642155,0.656452618921027,0.89355750337281
"AT1G01440.1",1107.94899535399,-0.0665080451344529,0.0818408224929102,0.151559908436834,0.507222585966089
"AT1G01448.1",635.960367043344,-0.0634228578565045,0.108301405698954,0.242822090047718,0.619824398143112
"AT1G01448.2",5.63775369855966,0.00956396895097366,0.19340705698996,0.804102012154256,NA
